Fatt. n°/Vs. Orc	Cliente	Kg	Ordine < 500 (non compilare se in C/L)	Lav	Tipologia Materiale	Materiale Euro di riferimento	Materiale+Lav con commissione	Vendita	Aliquota variabile	Commissione con aliquota Variabile	1,5% fissa	3% Fissa	8% Fissa	Totale Fisso	delta	Totale provv variabile	TOTALE FATTURA	Data Consegna	 € 18.539,86 	 € 62.281,55 			
2505131	Alstom	3.200,00		 € 0,660 	Rame	 € 10,2288 	 € 10,8888 	 € 10,8888 	5,00%	 € 0,5444 	 € 0,1633 	 € -     	 € -     	 € 522,6642 	 € -     	 € -     	 € 522,6642 	02/12/2025				12	2025
2505124	Elettromil	3.000,00		 € 6,300 	Rame	 € 9,9329 	 € 16,2329 	 € 16,4000 	5,00%	 € 0,8116 	 € 0,2435 	 € -     	 € -     	 € 730,4811 	 € 0,1671 	 € 200,5031 	 € 930,9842 	15/01/2026				1	2026
2505124	Elettromil	3.000,00		 € 6,300 	Rame	 € 9,9329 	 € 16,2329 	 € 16,4000 	5,00%	 € 0,8116 	 € 0,2435 	 € -     	 € -     	 € 730,4811 	 € 0,1671 	 € 200,5031 	 € 930,9842 	05/02/2026				2	2026
2505120	Malinverno	500,00		 € 0,740 	Rame	 € 10,1567 	 € 10,8967 	 € 11,5800 	5,00%	 € 0,5448 	 € 0,1635 	 € -     	 € -     	 € 81,7256 	 € 0,6833 	 € 136,6507 	 € 218,3763 	10/12/2025				12	2025
2505232	Vezzaro	1.000,00		 € 0,730 	Rame	 € 9,9476 	 € 10,6776 	 € 10,8980 	5,00%	 € 0,5339 	 € 0,1602 	 € -     	 € -     	 € 160,1641 	 € 0,2204 	 € 88,1570 	 € 248,3211 	22/12/2025				12	2025
2505232	Vezzaro	3.000,00		 € 0,820 	Rame	 € 9,9476 	 € 10,7676 	 € 10,9476 	5,00%	 € 0,5384 	 € 0,1615 	 € -     	 € -     	 € 484,5423 	 € 0,1800 	 € 215,9910 	 € 700,5333 	22/12/2025				12	2025
2505232	Vezzaro	2.500,00		 € 0,780 	Rame	 € 9,9476 	 € 10,7276 	 € 10,9280 	5,00%	 € 0,5364 	 € 0,1609 	 € -     	 € -     	 € 402,2853 	 € 0,2004 	 € 200,3925 	 € 602,6778 	22/12/2025				12	2025
2505232	Vezzaro	2.500,00		 € 0,780 	Rame	 € 9,9476 	 € 10,7276 	 € 10,9476 	5,00%	 € 0,5364 	 € 0,1609 	 € -     	 € -     	 € 402,2853 	 € 0,2200 	 € 219,9925 	 € 622,2778 	22/12/2025				12	2025
2505211	Pizzamiglio	350,00		 € 0,700 	Rame	 € 10,0065 	 € 10,7065 	 € 10,9600 	5,00%	 € 0,5353 	 € 0,1606 	 € -     	 € -     	 € 56,2094 	 € 0,2535 	 € 35,4835 	 € 91,6929 	15/12/2025				12	2025
2505229	Csf	500,00		 € 0,700 	Rame	 € 10,0462 	 € 10,7462 	 € 11,3000 	5,00%	 € 0,5373 	 € 0,1612 	 € -     	 € -     	 € 80,5962 	 € 0,5538 	 € 110,7676 	 € 191,3638 	15/01/2026				1	2026
